Freq.	V(vo)/V(vi)
1.19124200802737e+003	3.10844085083727e+001,-4.80161503103068e-002
1.19398810446427e+003	3.10844081851753e+001,-4.81268384979121e-002
1.19674053130724e+003	3.10844078605248e+001,-4.82377818449985e-002
1.19949930314937e+003	3.10844075343675e+001,-4.83489809396049e-002
1.20226443461741e+003	3.10844072066844e+001,-4.84604363712313e-002
1.20503594037179e+003	3.10844068774799e+001,-4.85721487308070e-002
1.20781383510678e+003	3.10844065467717e+001,-4.86841186106629e-002
1.21059813355048e+003	3.10844062145519e+001,-4.87963466044198e-002
1.21338885046497e+003	3.10844058807895e+001,-4.89088333069959e-002
1.21618600064636e+003	3.10844055454668e+001,-4.90215793147183e-002
1.21898959892486e+003	3.10844052086226e+001,-4.91345852254666e-002
1.22179966016487e+003	3.10844048701912e+001,-4.92478516381737e-002
1.22461619926504e+003	3.10844045302251e+001,-4.93613791535177e-002
1.22743923115840e+003	3.10844041886689e+001,-4.94751683732309e-002
1.23026877081238e+003	3.10844038455383e+001,-4.95892199006924e-002
1.23310483322890e+003	3.10844035008397e+001,-4.97035343405174e-002
1.23594743344450e+003	3.10844031545520e+001,-4.98181122987582e-002
1.23879658653036e+003	3.10844028066340e+001,-4.99329543827537e-002
1.24165230759241e+003	3.10844024571601e+001,-5.00480612016087e-002
1.24451461177138e+003	3.10844021060408e+001,-5.01634333653171e-002
1.24738351424294e+003	3.10844017533146e+001,-5.02790714856827e-002
1.25025903021771e+003	3.10844013989515e+001,-5.03949761757008e-002
1.25314117494141e+003	3.10844010429554e+001,-5.05111480498879e-002
1.25602996369487e+003	3.10844006853304e+001,-5.06275877241790e-002
1.25892541179416e+003	3.10844003260338e+001,-5.07442958157790e-002
1.26182753459066e+003	3.10843999650811e+001,-5.08612729435011e-002
1.26473634747115e+003	3.10843996024649e+001,-5.09785197275120e-002
1.26765186585784e+003	3.10843992381770e+001,-5.10960367894056e-002
1.27057410520854e+003	3.10843988721987e+001,-5.12138247521736e-002
1.27350308101666e+003	3.10843985045573e+001,-5.13318842403928e-002
1.27643880881134e+003	3.10843981352084e+001,-5.14502158798515e-002
1.27938130415752e+003	3.10843977641463e+001,-5.15688202978984e-002
1.28233058265601e+003	3.10843973913608e+001,-5.16876981233223e-002
1.28528665994361e+003	3.10843970168813e+001,-5.18068499864811e-002
